Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Alt Camp,2013,365.0504127659575,621401,13900.0,88.1,1158.33
Urgell,2013,311.7919528344672,476800,13100.0,82.8,1091.67
Garraf,2013,590.3394739767178,2201196,15300.0,96.6,1275.0
Garrigues,2013,290.51011229050283,258425,13100.0,82.7,1091.67
Baix Empordà,2013,453.2233106305369,1695133,12900.0,81.6,1075.0
Gironès,2013,460.72286337184414,2666934,14700.0,92.9,1225.0
Garrotxa,2013,355.65468405063285,829600,15000.0,95.1,1250.0
Tarragonès,2013,433.7676547454432,3525307,14200.0,89.4,1183.33
Solsonès,2013,297.08356813186793,183281,13600.0,85.7,1133.33
Selva,2013,422.5844793090638,2119760,12600.0,79.4,1050.0
Segrià,2013,375.2965914790999,2896785,14100.0,88.9,1175.0
Segarra,2013,312.3944968085106,305322,13400.0,84.6,1116.67
Ribera d'Ebre,2013,310.2936213114753,320450,14100.0,88.9,1175.0
Priorat,2013,350.7171641791043,123873,12900.0,81.5,1075.0
Ripollès,2013,347.8323645367411,406185,15800.0,99.6,1316.67
Pla de l'Estany,2013,409.19391708253374,461829,14700.0,93.1,1225.0
Pallars Sobirà,2013,335.3844758620689,97300,13500.0,85.3,1125.0
Pallars Jussà,2013,307.6637034482759,187765,14100.0,88.9,1175.0
Osona,2013,407.6057352553544,2332889,15300.0,96.5,1275.0
Noguera,2013,298.39793359374994,501496,12800.0,80.8,1066.67
Montsià,2013,292.01757030411443,781083,11200.0,70.6,933.33
Maresme,2013,552.8224447415155,6754271,15600.0,98.7,1300.0
Pla d'Urgell,2013,314.4125165975101,483862,13200.0,83.3,1100.0
Garrigues,2014,309.4525,251234,12900.0,80.8,1075.0
Baix Penedès,2014,404.5753,1302179,13100.0,82.0,1091.67
Garraf,2014,587.4356,2241016,15600.0,97.5,1300.0
Conca de Barberà,2014,332.8395,291763,14300.0,89.0,1191.67
Cerdanya,2014,471.8116,238574,13300.0,83.2,1108.33
Berguedà,2014,305.201,616224,15600.0,97.4,1300.0
Barcelonès,2014,649.082,39908544,18200.0,113.5,1516.67
Baix Llobregat,2014,592.6884,13380745,16800.0,104.7,1400.0
Alt Camp,2014,374.3318,629440,14200.0,88.7,1183.33
Baix Ebre,2014,315.4418,960487,12100.0,75.7,1008.33
Bages,2014,348.278,2641245,15200.0,95.1,1266.67
Anoia,2014,361.5316,1657787,14100.0,88.3,1175.0
Alta Ribagorça,2014,299.5238,56670,14500.0,90.3,1208.33
Alt Urgell,2014,351.9853,258351,12500.0,78.1,1041.67
Alt Penedès,2014,417.016,1615462,15300.0,95.7,1275.0
Alt Empordà,2014,434.0323,1673140,12200.0,76.5,1016.67
Garrotxa,2014,357.5302,833483,15100.0,94.6,1258.33
Baix Empordà,2014,429.2316,1692192,13000.0,81.1,1083.33
Gironès,2014,454.8914,2693887,14900.0,93.0,1241.67
Priorat,2014,359.1212,123252,13000.0,81.1,1083.33
Moianès,2014,381.8667,193629,14900.0,93.3,1241.67
Maresme,2014,549.2821,6814768,15700.0,98.4,1308.33
Vallès Occidental,2014,526.5147,14584192,16300.0,101.9,1358.33
Urgell,2014,306.3997,474595,13100.0,82.2,1091.67
Terra Alta,2014,222.6472,149666,12600.0,78.8,1050.0
Tarragonès,2014,426.7153,3551238,14200.0,89.0,1183.33
Solsonès,2014,290.5116,177634,13200.0,82.6,1100.0
